bostoncollege,Boston College
clemson,Clemson
duke,Duke
floridastate,Florida State
georgiatech,Georgia Tech
louisville,Louisville
miami,Miami
northcarolina,North Carolina
northcarolinastate,North Carolina State
pittsburgh,Pittsburgh
syracuse,Syracuse
virginia,Virginia
virginiatech,Virginia Tech
wakeforest,Wake Forest
baylor,Baylor
iowastate,Iowa State
kansas,Kansas
kansasstate,Kansas State
oklahoma,Oklahoma
oklahomastate,Oklahoma State
tcu,TCU
texas,Texas
texastech,Texas Tech
westvirginia,West Virginia
illinois,Illinois
indiana,Indiana
iowa,Iowa
maryland,Maryland
michigan,Michigan
michiganstate,Michigan State
minnesota,Minnesota
nebraska,Nebraska
northwestern,Northwestern
ohiostate,Ohio State
pennstate,Penn State
purdue,Purdue
rutgers,Rutgers
wisconsin,Wisconsin
arizona,Arizona
arizonastate,Arizona State
california,California
colorado,Colorado
oregon,Oregon
oregonstate,Oregon State
stanford,Stanford
ucla,UCLA
usc,USC
utah,Utah
washington,Washington
washingtonstate,Washington State
alabama,Alabama
arkansas,Arkansas
auburn,Auburn
florida,Florida
georgia,Georgia
kentucky,Kentucky
lsu,LSU
mississippistate,Mississippi State
missouri,Missouri
olemiss,Ole Miss
southcarolina,South Carolina
tennessee,Tennessee
texasam,Texas A&M
vanderbilt,Vanderbilt
army,Army
byu,BYU
notredame,Notre Dame
umass,UMass
coastalcarolina,Coastal Carolina
cincinnati,Cincinnati
connecticut,Connecticut
eastcarolina,East Carolina
houston,Houston
memphis,Memphis
navy,Navy
smu,SMU
temple,Temple
tulane,Tulane
tulsa,Tulsa
ucf,UCF
usf,USF
charlotte,Charlotte
fau,FAU
fiu,FIU
louisianatech,Louisiana Tech
marshall,Marshall
middletennessee,Middle Tennessee
northtexas,North Texas
olddominion,Old Dominion
rice,Rice
southernmiss,Southern Miss
uab,UAB
utep,UTEP
utsa,UTSA
westernkentucky,Western Kentucky
akron,Akron
ballstate,Ball State
bowlinggreen,Bowling Green
buffalo,Buffalo
centralmichigan,Central Michigan
easternmichigan,Eastern Michigan
kentstate,Kent State
miamioh,Miami (OH)
northernillinois,Northern Illinois
ohio,Ohio
toledo,Toledo
