division,conference,name,handle,use_for_ballot
FBS,ACC,Boston College Eagles,bostoncollege,1
FBS,ACC,Clemson Tigers,clemson,1
FBS,ACC,Duke Blue Devils,duke,1
FBS,ACC,Florida State Seminoles,floridastate,1
FBS,ACC,Georgia Tech Yellow Jackets,georgiatech,1
FBS,ACC,Louisville Cardinals,louisville,1
FBS,ACC,Miami Hurricanes,miami,1
FBS,ACC,North Carolina Tar Heels,northcarolina,1
FBS,ACC,North Carolina State Wolfpack,northcarolinastate,1
FBS,ACC,Pittsburgh Panthers,pittsburgh,1
FBS,ACC,Syracuse Orange,syracuse,1
FBS,ACC,Virginia Cavaliers,virginia,1
FBS,ACC,Virginia Tech Hokies,virginiatech,1
FBS,ACC,Wake Forest Demon Deacons,wakeforest,1
FBS,Big 12,Baylor Bears,baylor,1
FBS,Big 12,Iowa State Cyclones,iowastate,1
FBS,Big 12,Kansas Jayhawks,kansas,1
FBS,Big 12,Kansas State Wildcats,kansasstate,1
FBS,Big 12,Oklahoma Sooners,oklahoma,1
FBS,Big 12,Oklahoma State Cowboys,oklahomastate,1
FBS,Big 12,TCU Horned Frogs,tcu,1
FBS,Big 12,Texas Longhorns,texas,1
FBS,Big 12,Texas Tech Red Raiders,texastech,1
FBS,Big 12,West Virginia Mountaineers,westvirginia,1
FBS,Big Ten,Illinois Fighting Illini,illinois,1
FBS,Big Ten,Indiana Hoosiers,indiana,1
FBS,Big Ten,Iowa Hawkeyes,iowa,1
FBS,Big Ten,Maryland Terrapins,maryland,1
FBS,Big Ten,Michigan Wolverines,michigan,1
FBS,Big Ten,Michigan State Spartans,michiganstate,1
FBS,Big Ten,Minnesota Golden Gophers,minnesota,1
FBS,Big Ten,Nebraska Cornhuskers,nebraska,1
FBS,Big Ten,Northwestern Wildcats,northwestern,1
FBS,Big Ten,Ohio State Buckeyes,ohiostate,1
FBS,Big Ten,Penn State Nittany Lions,pennstate,1
FBS,Big Ten,Purdue Boilermakers,purdue,1
FBS,Big Ten,Rutgers Scarlet Knights,rutgers,1
FBS,Big Ten,Wisconsin Badgers,wisconsin,1
FBS,Pac-12,Arizona Wildcats,arizona,1
FBS,Pac-12,Arizona State Sun Devils,arizonastate,1
FBS,Pac-12,California Golden Bears,california,1
FBS,Pac-12,Colorado Buffaloes,colorado,1
FBS,Pac-12,Oregon Ducks,oregon,1
FBS,Pac-12,Oregon State Beavers,oregonstate,1
FBS,Pac-12,Stanford Cardinal,stanford,1
FBS,Pac-12,UCLA Bruins,ucla,1
FBS,Pac-12,USC Trojans,usc,1
FBS,Pac-12,Utah Utes,utah,1
FBS,Pac-12,Washington Huskies,washington,1
FBS,Pac-12,Washington State Cougars,washingtonstate,1
FBS,SEC,Alabama Crimson Tide,alabama,1
FBS,SEC,Arkansas Razorbacks,arkansas,1
FBS,SEC,Auburn Tigers,auburn,1
FBS,SEC,Florida Gators,florida,1
FBS,SEC,Georgia Bulldogs,georgia,1
FBS,SEC,Kentucky Wildcats,kentucky,1
FBS,SEC,LSU Tigers,lsu,1
FBS,SEC,Mississippi State Bulldogs,mississippistate,1
FBS,SEC,Missouri Tigers,missouri,1
FBS,SEC,Ole Miss Rebels,olemiss,1
FBS,SEC,South Carolina Gamecocks,southcarolina,1
FBS,SEC,Tennessee Volunteers,tennessee,1
FBS,SEC,Texas A&M Aggies,texasam,1
FBS,SEC,Vanderbilt Commodores,vanderbilt,1
FBS,D1 Independents,Army West Point,army,1
FBS,D1 Independents,BYU Cougars,byu,1
FBS,D1 Independents,Notre Dame Fighting Irish,notredame,1
FBS,D1 Independents,UMass Minutemen,umass,1
FBS,D1 Independents,Coastal Carolina Chanticleers,coastalcarolina,0
FBS,American,Cincinnati Bearcats,cincinnati,1
FBS,American,Connecticut Huskies,connecticut,1
FBS,American,East Carolina Pirates,eastcarolina,1
FBS,American,Houston Cougars,houston,1
FBS,American,Memphis Tigers,memphis,1
FBS,American,Navy Midshipmen,navy,1
FBS,American,SMU Mustangs,smu,1
FBS,American,Temple Owls,temple,1
FBS,American,Tulane Green Wave,tulane,1
FBS,American,Tulsa Golden Hurricane,tulsa,1
FBS,American,UCF Knights,ucf,1
FBS,American,USF Bulls,usf,1
FBS,Conference USA,Charlotte 49ers,charlotte,1
FBS,Conference USA,FAU Owls,fau,1
FBS,Conference USA,FIU Panthers,fiu,1
FBS,Conference USA,Louisiana Tech Bulldogs,louisianatech,1
FBS,Conference USA,Marshall Thundering Herd,marshall,1
FBS,Conference USA,Middle Tennessee Blue Raiders,middletennessee,1
FBS,Conference USA,North Texas Mean Green,northtexas,1
FBS,Conference USA,Old Dominion Monarchs,olddominion,1
FBS,Conference USA,Rice Owls,rice,1
FBS,Conference USA,Southern Miss Golden Eagles,southernmiss,1
FBS,Conference USA,UAB Blazers,uab,1
FBS,Conference USA,UTEP Miners,utep,1
FBS,Conference USA,UTSA Roadrunners,utsa,1
FBS,Conference USA,Western Kentucky Hilltoppers,westernkentucky,1
FBS,MAC,Akron Zips,akron,1
FBS,MAC,Ball State Cardinals,ballstate,1
FBS,MAC,Bowling Green Falcons,bowlinggreen,1
FBS,MAC,Buffalo Bulls,buffalo,1
FBS,MAC,Central Michigan Chippewas,centralmichigan,1
FBS,MAC,Eastern Michigan Eagles,easternmichigan,1
FBS,MAC,Kent State Golden Flashes,kentstate,1
FBS,MAC,Miami (OH) RedHawks,miamioh,1
FBS,MAC,Northern Illinois Huskies,northernillinois,1
FBS,MAC,Ohio Bobcats,ohio,1
FBS,MAC,Toledo Rockets,toledo,1
FBS,MAC,Western Michigan Broncos,westernmichigan,1
FBS,Mountain West,Air Force Falcons,airforce,1
FBS,Mountain West,Boise State Broncos,boisestate,1
FBS,Mountain West,Colorado State Rams,coloradostate,1
FBS,Mountain West,Fresno State Bulldogs,fresnostate,1
FBS,Mountain West,Hawai'i Rainbow Warriors,hawaii,1
FBS,Mountain West,Nevada Wolf Pack,nevada,1
FBS,Mountain West,New Mexico Lobos,newmexico,1
FBS,Mountain West,San Diego State Aztecs,sandiegostate,1
FBS,Mountain West,San José State Spartans,sanjosestate,1
FBS,Mountain West,UNLV Rebels,unlv,1
FBS,Mountain West,Utah State Aggies,utahstate,1
FBS,Mountain West,Wyoming Cowboys,wyoming,1
FBS,Sun Belt,Appalachian State Mountaineers,appalachianstate,1
FBS,Sun Belt,Arkansas State Red Wolves,arkansasstate,1
FBS,Sun Belt,Georgia Southern Eagles,georgiasouthern,1
FBS,Sun Belt,Georgia State Panthers,georgiastate,1
